#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 01 00 00  26  5.8  7.0 99.00 99.00 99.00 999 1019.9   0.1 999.0 -10.3 99.0 99.00
2022 01 01 01 00  70  3.3  3.8 99.00 99.00 99.00 999 1020.4  -0.7 999.0 -10.9 99.0 99.00
2022 01 01 02 00  71  3.1  3.9 99.00 99.00 99.00 999 1021.2  -0.7 999.0 -10.2 99.0 99.00
2022 01 01 03 00  73  3.9  4.6 99.00 99.00 99.00 999 1021.9  -0.9 999.0 -11.6 99.0 99.00
2022 01 01 04 00  90  2.3  3.7 99.00 99.00 99.00 999 1022.1  -1.4 999.0  -9.8 99.0 99.00
2022 01 01 05 00  98  2.7  3.6 99.00 99.00 99.00 999 1022.5  -1.8 999.0  -8.9 99.0 99.00
2022 01 01 06 00 113  2.8  4.0 99.00 99.00 99.00 999 1022.5  -1.8 999.0  -7.6 99.0 99.00
2022 01 01 07 00 141  2.7  3.0 99.00 99.00 99.00 999 1023.4  -1.8 999.0  -8.0 99.0 99.00
2022 01 01 08 00 130  1.4  1.9 99.00 99.00 99.00 999 1023.5  -1.8 999.0  -8.6 99.0 99.00
2022 01 01 09 00 136  2.0  2.5 99.00 99.00 99.00 999 1023.9  -2.3 999.0  -7.3 99.0 99.00
2022 01 01 10 00 135  3.1  4.4 99.00 99.00 99.00 999 1024.2  -2.4 999.0  -6.4 99.0 99.00
2022 01 01 11 00 138  3.4  4.5 99.00 99.00 99.00 999 1024.7  -1.9 999.0  -7.1 99.0 99.00
2022 01 01 12 00 148  4.1  4.9 99.00 99.00 99.00 999 1024.7  -1.8 999.0  -6.5 99.0 99.00
2022 01 01 13 00 137  3.3  4.6 99.00 99.00 99.00 999 1024.6  -2.1 999.0  -7.0 99.0 99.00
2022 01 01 14 00 140  3.8  4.8 99.00 99.00 99.00 999 1024.6  -2.0 999.0  -6.4 99.0 99.00
2022 01 01 15 00 134  3.4  5.0 99.00 99.00 99.00 999 1024.9  -1.4 999.0  -5.7 99.0 99.00
2022 01 01 16 00 142  4.5  5.3 99.00 99.00 99.00 999 1024.8  -1.7 999.0  -6.6 99.0 99.00
2022 01 01 17 00 145  4.6  5.8 99.00 99.00 99.00 999 1025.3  -1.5 999.0  -6.0 99.0 99.00
2022 01 01 18 00 143  5.3  6.0 99.00 99.00 99.00 999 1025.3  -0.8 999.0  -5.5 99.0 99.00
2022 01 01 19 00 142  5.5  6.8 99.00 99.00 99.00 999 1024.7  -0.7 999.0  -5.9 99.0 99.00
2022 01 01 20 00 157  7.7  8.5 99.00 99.00 99.00 999 1024.1   0.0 999.0  -5.2 99.0 99.00
2022 01 01 21 00 158  6.4  7.7 99.00 99.00 99.00 999 1023.3   1.1 999.0  -4.8 99.0 99.00
2022 01 01 22 00 170  8.8  9.7 99.00 99.00 99.00 999 1022.4   2.0 999.0  -3.0 99.0 99.00
2022 01 01 23 00 172 10.0 10.7 99.00 99.00 99.00 999 1022.1   2.5 999.0  -2.3 99.0 99.00
2022 01 02 00 00 180 11.0 12.3 99.00 99.00 99.00 999 1021.4   3.1 999.0  -1.2 99.0 99.00
2022 01 02 01 00 175 10.4 11.5 99.00 99.00 99.00 999 1020.8   3.1 999.0  -1.3 99.0 99.00
2022 01 02 02 00 154  8.2  9.3 99.00 99.00 99.00 999 1020.3   2.9 999.0  -2.0 99.0 99.00
2022 01 02 03 00 191 10.6 11.5 99.00 99.00 99.00 999 1019.3   3.3 999.0  -0.1 99.0 99.00
2022 01 02 04 00 199 13.1 14.1 99.00 99.00 99.00 999 1018.8   3.4 999.0  -1.5 99.0 99.00
2022 01 02 05 00 201 11.0 11.8 99.00 99.00 99.00 999 1018.1   3.4 999.0  -1.1 99.0 99.00
2022 01 02 06 00 192  7.4  8.5 99.00 99.00 99.00 999 1018.5   3.2 999.0  -1.6 99.0 99.00
2022 01 02 07 00 139  4.1  5.3 99.00 99.00 99.00 999 1017.9   2.5 999.0  -1.6 99.0 99.00
2022 01 02 08 00 169  7.1  8.7 99.00 99.00 99.00 999 1017.1   3.0 999.0  -1.4 99.0 99.00
2022 01 02 09 00 152  4.8  5.8 99.00 99.00 99.00 999 1016.5   2.6 999.0  -1.7 99.0 99.00
2022 01 02 10 00 156  5.6  6.7 99.00 99.00 99.00 999 1015.8   2.6 999.0  -2.0 99.0 99.00
2022 01 02 11 00 149  8.2  9.3 99.00 99.00 99.00 999 1014.9   3.0 999.0  -2.4 99.0 99.00
2022 01 02 12 00 160  8.3 10.3 99.00 99.00 99.00 999 1014.4   3.8 999.0  -1.2 99.0 99.00
2022 01 02 13 00 150  7.3  9.9 99.00 99.00 99.00 999 1014.0   3.1 999.0  -2.4 99.0 99.00
2022 01 02 14 00 146  7.9  9.0 99.00 99.00 99.00 999 1013.1   3.6 999.0  -2.3 99.0 99.00
2022 01 02 15 00 151  8.1  9.7 99.00 99.00 99.00 999 1012.9   3.3 999.0  -1.8 99.0 99.00
2022 01 02 16 00 150  8.1  9.6 99.00 99.00 99.00 999 1011.8   3.0 999.0  -1.9 99.0 99.00
2022 01 02 17 00 152  7.2  8.4 99.00 99.00 99.00 999 1011.1   3.5 999.0  -1.7 99.0 99.00
