#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2009 01 01 19 10 254  5.0 999 99.0 9999
2009 01 01 19 20 226  5.6 999 99.0 9999
2009 01 01 19 30 264  5.1 999 99.0 9999
2009 01 01 19 40 295  3.6 999 99.0 9999
2009 01 01 19 50 306  3.2 999 99.0 9999
2009 01 01 20 00 307  3.1 211  9.7 1918
2009 01 01 20 10 315  5.1 999 99.0 9999
2009 01 01 20 20 331  6.5 999 99.0 9999
2009 01 01 20 30 336  6.4 999 99.0 9999
2009 01 01 20 40 351  5.9 999 99.0 9999
2009 01 01 20 50   2  5.3 999 99.0 9999
2009 01 01 21 00 350  6.1 339  8.6 2032
2009 01 01 21 10 360  5.8 999 99.0 9999
2009 01 01 21 20 357  5.5 999 99.0 9999
2009 01 01 21 30   3  5.8 999 99.0 9999
2009 01 01 21 40   4  6.2 999 99.0 9999
2009 01 01 21 50   2  6.5 999 99.0 9999
2009 01 01 22 00 359  7.5 354  9.8 2155
2009 01 01 22 10 357  8.1 999 99.0 9999
2009 01 01 22 20 343  7.0 999 99.0 9999
2009 01 01 22 30 349  7.0 999 99.0 9999
2009 01 01 22 40 348  7.5 999 99.0 9999
2009 01 01 22 50 351  8.3 999 99.0 9999
2009 01 01 23 00 350  8.4 359 10.1 2200
2009 01 01 23 10 351  8.6 999 99.0 9999
2009 01 01 23 20 350  8.6 999 99.0 9999
2009 01 01 23 30 359  8.2 999 99.0 9999
2009 01 01 23 40   4  7.9 999 99.0 9999
2009 01 01 23 50  14  6.7 999 99.0 9999
2009 01 02 00 00  12  6.1 348 10.3 2306
2009 01 02 00 10  21  5.4 999 99.0 9999
2009 01 02 00 20  44  4.9 999 99.0 9999
2009 01 02 00 30  58  3.5 999 99.0 9999
2009 01 02 00 40  64  3.0 999 99.0 9999
2009 01 02 00 50  71  2.7 999 99.0 9999
2009 01 02 01 00  74  2.3  21  6.7 0000
2009 01 02 01 10  65  2.5 999 99.0 9999
2009 01 02 01 20  61  2.3 999 99.0 9999
2009 01 02 01 30  68  1.9 999 99.0 9999
2009 01 02 01 40  57  2.6 999 99.0 9999
2009 01 02 01 50  64  2.6 999 99.0 9999
2009 01 02 02 00  74  2.2  69  3.6 0105
2009 01 02 02 10  78  1.6 999 99.0 9999
2009 01 02 02 20  61  1.9 999 99.0 9999
2009 01 02 02 30  75  2.1 999 99.0 9999
2009 01 02 02 40  89  1.9 999 99.0 9999
2009 01 02 02 50  91  1.8 999 99.0 9999
2009 01 02 03 00  81  1.2  91  3.4 0231
2009 01 02 03 10  76  1.2 999 99.0 9999
2009 01 02 03 20  99  1.1 999 99.0 9999
