#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 03 03 00 182 11.5 12.4 99.00 99.00 99.00 999 1002.5   9.2 999.0   8.4 99.0 99.00
2021 01 03 04 00 181  9.4 10.0 99.00 99.00 99.00 999 1002.8   9.4 999.0   9.1 99.0 99.00
2021 01 03 05 00  23  9.9 11.8 99.00 99.00 99.00 999 1004.0   6.7 999.0   6.4 99.0 99.00
2021 01 03 06 00  40  5.8  7.4 99.00 99.00 99.00 999 1004.7   6.1 999.0   5.4 99.0 99.00
2021 01 03 07 00  53  5.7  6.5 99.00 99.00 99.00 999 1005.4   5.4 999.0   4.7 99.0 99.00
2021 01 03 08 00  91  3.6  5.7 99.00 99.00 99.00 999 1005.9   4.7 999.0   4.3 99.0 99.00
2021 01 03 09 00 117  4.1  5.5 99.00 99.00 99.00 999 1006.5   3.9 999.0   3.4 99.0 99.00
2021 01 03 10 00 144  4.6  6.6 99.00 99.00 99.00 999 1007.7   3.5 999.0   3.0 99.0 99.00
2021 01 03 11 00 146  3.5  3.9 99.00 99.00 99.00 999 1009.3   4.5 999.0   3.5 99.0 99.00
2021 01 03 12 00 141  5.4  6.4 99.00 99.00 99.00 999 1009.9   5.0 999.0   4.4 99.0 99.00
2021 01 03 13 00 155  6.8  7.2 99.00 99.00 99.00 999 1010.9   5.5 999.0   5.1 99.0 99.00
2021 01 03 14 00 166  9.6 11.5 99.00 99.00 99.00 999 1011.2   6.1 999.0   5.6 99.0 99.00
2021 01 03 15 00 170 12.4 13.4 99.00 99.00 99.00 999 1011.4   6.0 999.0   5.5 99.0 99.00
2021 01 03 16 00 189 11.4 13.4 99.00 99.00 99.00 999 1012.0   7.0 999.0   5.9 99.0 99.00
2021 01 03 17 00 187  6.3  7.4 99.00 99.00 99.00 999 1013.3   6.4 999.0   5.9 99.0 99.00
2021 01 03 18 00 182 11.3 12.9 99.00 99.00 99.00 999 1013.8   6.9 999.0   5.6 99.0 99.00
2021 01 03 19 00 175 11.6 13.1 99.00 99.00 99.00 999 1013.9   7.3 999.0   7.1 99.0 99.00
2021 01 03 20 00 179 11.9 12.7 99.00 99.00 99.00 999 1013.8   8.2 999.0   6.8 99.0 99.00
2021 01 03 21 00 185 13.5 14.5 99.00 99.00 99.00 999 1013.8   8.4 999.0   6.7 99.0 99.00
2021 01 03 22 00 179 13.2 14.6 99.00 99.00 99.00 999 1014.6   8.8 999.0   7.0 99.0 99.00
2021 01 03 23 00 175 12.6 13.5 99.00 99.00 99.00 999 1014.7   9.2 999.0   7.1 99.0 99.00
2021 01 04 00 00 174 12.7 14.1 99.00 99.00 99.00 999 1015.1   9.1 999.0   7.3 99.0 99.00
2021 01 04 01 00 165  9.1  9.8 99.00 99.00 99.00 999 1015.2   9.0 999.0   7.4 99.0 99.00
2021 01 04 02 00 167  6.8  7.5 99.00 99.00 99.00 999 1014.9   8.9 999.0   7.5 99.0 99.00
2021 01 04 03 00 148  5.4  6.0 99.00 99.00 99.00 999 1014.3   8.6 999.0   7.1 99.0 99.00
2021 01 04 04 00  89  2.8  4.4 99.00 99.00 99.00 999 1012.9   8.0 999.0   6.5 99.0 99.00
2021 01 04 05 00  90  3.7  5.1 99.00 99.00 99.00 999 1011.7   7.7 999.0   5.9 99.0 99.00
2021 01 04 06 00 156  4.8  5.5 99.00 99.00 99.00 999 1010.8   7.6 999.0   6.4 99.0 99.00
2021 01 04 07 00 161  5.3  5.8 99.00 99.00 99.00 999 1010.7   6.7 999.0   5.9 99.0 99.00
2021 01 04 08 00 108  2.2  3.2 99.00 99.00 99.00 999 1008.6   6.3 999.0   5.9 99.0 99.00
2021 01 04 09 00 182  4.2  4.6 99.00 99.00 99.00 999 1006.6   6.9 999.0   6.0 99.0 99.00
2021 01 04 10 00 177  5.7  6.8 99.00 99.00 99.00 999 1004.8   7.0 999.0   6.2 99.0 99.00
2021 01 04 11 00 158  6.8  7.5 99.00 99.00 99.00 999 1003.6   8.0 999.0   6.8 99.0 99.00
2021 01 04 12 00 156  7.7  9.2 99.00 99.00 99.00 999 1002.7   8.1 999.0   7.1 99.0 99.00
2021 01 04 13 00 142  9.2 10.7 99.00 99.00 99.00 999 1001.3   8.1 999.0   6.7 99.0 99.00
2021 01 04 14 00 138  5.9  8.0 99.00 99.00 99.00 999 1000.4   7.8 999.0   6.7 99.0 99.00
2021 01 04 15 00 146  7.8  8.8 99.00 99.00 99.00 999  999.4   8.6 999.0   7.0 99.0 99.00
2021 01 04 16 00 118  2.7  3.7 99.00 99.00 99.00 999  998.7   8.1 999.0   7.4 99.0 99.00
2021 01 04 17 00 119  1.8  3.5 99.00 99.00 99.00 999  998.2   8.1 999.0   6.9 99.0 99.00
2021 01 04 18 00 151  4.1  6.2 99.00 99.00 99.00 999  998.3   8.2 999.0   7.1 99.0 99.00
2021 01 04 19 00 189  3.8  4.8 99.00 99.00 99.00 999  999.5   8.4 999.0   7.9 99.0 99.00
2021 01 04 20 00 209  9.2 10.5 99.00 99.00 99.00 999 1000.5   9.4 999.0   7.5 99.0 99.00
2021 01 04 21 00  30  6.1  6.6 99.00 99.00 99.00 999 1002.9   6.5 999.0   6.3 99.0 99.00
2021 01 04 22 00 166  4.3  4.7 99.00 99.00 99.00 999 1004.7   7.3 999.0   6.8 99.0 99.00
2021 01 04 23 00 148  4.8  5.6 99.00 99.00 99.00 999 1006.1   8.2 999.0   6.6 99.0 99.00
2021 01 05 00 00 183  9.8 11.1 99.00 99.00 99.00 999 1006.7   9.1 999.0   7.3 99.0 99.00
2021 01 05 01 00 196 11.4 12.7 99.00 99.00 99.00 999 1007.5   8.9 999.0   7.5 99.0 99.00
2021 01 05 02 00 212  5.8  6.8 99.00 99.00 99.00 999 1009.2   8.5 999.0   6.3 99.0 99.00
2021 01 05 03 00 210  7.9  8.9 99.00 99.00 99.00 999 1010.4   8.5 999.0   5.5 99.0 99.00
2021 01 05 04 00 189  9.9 10.8 99.00 99.00 99.00 999 1011.3   7.8 999.0   6.3 99.0 99.00
2021 01 05 05 00 204  4.8  5.6 99.00 99.00 99.00 999 1012.9   7.6 999.0   5.8 99.0 99.00
