#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 01 00 00 182  9.1 10.0 99.00 99.00 99.00 999 1011.4   3.9 999.0   2.1 99.0 99.00
2017 01 01 01 00 205  8.5  9.8 99.00 99.00 99.00 999 1010.2   4.3 999.0   2.8 99.0 99.00
2017 01 01 02 00 320  4.5  5.3 99.00 99.00 99.00 999 1009.5   3.7 999.0   2.8 99.0 99.00
2017 01 01 03 00 212  1.1  1.6 99.00 99.00 99.00 999 1008.0   3.1 999.0   2.4 99.0 99.00
2017 01 01 04 00 211  4.5  5.6 99.00 99.00 99.00 999 1007.4   3.9 999.0   2.4 99.0 99.00
2017 01 01 05 00 178  2.5  3.2 99.00 99.00 99.00 999 1006.9   4.0 999.0   1.9 99.0 99.00
2017 01 01 06 00 215  3.2  4.1 99.00 99.00 99.00 999 1006.9   4.0 999.0   1.3 99.0 99.00
2017 01 01 07 00 193  5.3  5.9 99.00 99.00 99.00 999 1006.9   4.1 999.0   1.7 99.0 99.00
2017 01 01 08 00  38  6.8  8.3 99.00 99.00 99.00 999 1006.8   2.9 999.0   1.6 99.0 99.00
2017 01 01 09 00  75  1.2  2.0 99.00 99.00 99.00 999 1006.5   2.0 999.0   0.1 99.0 99.00
2017 01 01 10 00 127  1.7  2.3 99.00 99.00 99.00 999 1006.1   1.9 999.0   0.4 99.0 99.00
2017 01 01 11 00 146  1.8  2.0 99.00 99.00 99.00 999 1006.1   2.2 999.0   0.0 99.0 99.00
2017 01 01 12 00  78  1.5  2.4 99.00 99.00 99.00 999 1005.8   2.1 999.0   0.2 99.0 99.00
2017 01 01 13 00  76  0.7  1.2 99.00 99.00 99.00 999 1005.5   1.2 999.0   0.0 99.0 99.00
2017 01 01 14 00  27  0.4  0.6 99.00 99.00 99.00 999 1005.3   1.1 999.0   0.2 99.0 99.00
2017 01 01 15 00  25  2.9  3.3 99.00 99.00 99.00 999 1005.5   1.1 999.0   0.8 99.0 99.00
