#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 00 350  4.8  5.5 99.00 99.00 99.00 999 1032.7   5.5 999.0  -1.6 99.0 99.00
2019 01 01 01 00   4  4.8  5.4 99.00 99.00 99.00 999 1032.8   5.5 999.0  -2.2 99.0 99.00
2019 01 01 02 00  50  2.6  3.1 99.00 99.00 99.00 999 1032.7   4.6 999.0  -1.9 99.0 99.00
2019 01 01 03 00  85  2.8  3.4 99.00 99.00 99.00 999 1032.5   4.3 999.0  -2.3 99.0 99.00
2019 01 01 04 00  89  2.1  3.0 99.00 99.00 99.00 999 1032.0   4.2 999.0  -1.2 99.0 99.00
2019 01 01 05 00  93  1.8  2.4 99.00 99.00 99.00 999 1031.4   3.9 999.0  -0.5 99.0 99.00
2019 01 01 06 00 113  1.5  2.1 99.00 99.00 99.00 999 1031.2   3.6 999.0   0.1 99.0 99.00
2019 01 01 07 00 152  1.8  2.1 99.00 99.00 99.00 999 1031.4   3.4 999.0   1.1 99.0 99.00
2019 01 01 08 00 143  0.8  1.1 99.00 99.00 99.00 999 1031.4   3.0 999.0   1.2 99.0 99.00
2019 01 01 09 00  99  0.6  0.9 99.00 99.00 99.00 999 1031.5   3.1 999.0   1.2 99.0 99.00
2019 01 01 10 00 162  0.1  0.3 99.00 99.00 99.00 999 1031.9   3.1 999.0   1.4 99.0 99.00
2019 01 01 11 00 150  1.1  1.4 99.00 99.00 99.00 999 1031.8   3.4 999.0   1.5 99.0 99.00
2019 01 01 12 00 139  0.8  1.0 99.00 99.00 99.00 999 1031.7   3.3 999.0   1.5 99.0 99.00
2019 01 01 13 00 111  0.9  1.4 99.00 99.00 99.00 999 1031.1   3.5 999.0   1.7 99.0 99.00
2019 01 01 14 00 137  1.8  2.1 99.00 99.00 99.00 999 1030.7   2.9 999.0   1.3 99.0 99.00
2019 01 01 15 00 141  1.9  2.2 99.00 99.00 99.00 999 1031.0   3.4 999.0   0.0 99.0 99.00
2019 01 01 16 00 149  2.1  2.6 99.00 99.00 99.00 999 1031.3   3.6 999.0   0.5 99.0 99.00
2019 01 01 17 00 131  0.9  1.2 99.00 99.00 99.00 999 1031.7   3.9 999.0   1.7 99.0 99.00
2019 01 01 18 00 102  1.5  2.2 99.00 99.00 99.00 999 1032.0   4.1 999.0   1.4 99.0 99.00
2019 01 01 19 00 120  1.4  2.1 99.00 99.00 99.00 999 1031.2   4.6 999.0   1.9 99.0 99.00
2019 01 01 20 00 200  1.4  1.6 99.00 99.00 99.00 999 1030.7   4.5 999.0   1.3 99.0 99.00
2019 01 01 21 00 216  1.5  1.9 99.00 99.00 99.00 999 1029.8   4.9 999.0   0.6 99.0 99.00
2019 01 01 22 00 206  0.4  0.7 99.00 99.00 99.00 999 1029.4   5.0 999.0  -0.5 99.0 99.00
2019 01 01 23 00 212  0.4  0.6 99.00 99.00 99.00 999 1029.2   5.3 999.0   0.0 99.0 99.00
2019 01 02 00 00  63  0.2  0.3 99.00 99.00 99.00 999 1029.2   5.0 999.0  -1.0 99.0 99.00
2019 01 02 01 00  40  0.8  1.0 99.00 99.00 99.00 999 1029.1   4.8 999.0  -0.3 99.0 99.00
2019 01 02 02 00  60  0.8  0.9 99.00 99.00 99.00 999 1028.7   4.7 999.0   0.0 99.0 99.00
2019 01 02 03 00  37  0.8  1.0 99.00 99.00 99.00 999 1028.6   4.8 999.0   0.5 99.0 99.00
2019 01 02 04 00   0  0.0  0.2 99.00 99.00 99.00 999 1028.1   4.4 999.0   0.5 99.0 99.00
2019 01 02 05 00 173  0.6  0.8 99.00 99.00 99.00 999 1027.4   4.3 999.0   0.3 99.0 99.00
2019 01 02 06 00 148  1.5  1.7 99.00 99.00 99.00 999 1026.3   3.9 999.0   1.2 99.0 99.00
2019 01 02 07 00 143  1.4  1.6 99.00 99.00 99.00 999 1026.6   3.8 999.0   1.6 99.0 99.00
2019 01 02 08 00  59  1.4  1.5 99.00 99.00 99.00 999 1026.7   3.3 999.0   1.6 99.0 99.00
2019 01 02 09 00 157  3.2  3.6 99.00 99.00 99.00 999 1026.0   3.4 999.0   1.9 99.0 99.00
2019 01 02 10 00 136  3.8  4.8 99.00 99.00 99.00 999 1026.2   2.5 999.0   1.1 99.0 99.00
2019 01 02 11 00 167  6.4  7.1 99.00 99.00 99.00 999 1025.3   3.6 999.0   2.2 99.0 99.00
2019 01 02 12 00 158  4.4  5.1 99.00 99.00 99.00 999 1024.2   3.4 999.0   2.2 99.0 99.00
2019 01 02 21 00 183  8.8 10.5 99.00 99.00 99.00 999 1019.8   6.7 999.0   1.3 99.0 99.00
2019 01 02 22 00 177 10.6 11.8 99.00 99.00 99.00 999 1018.8   7.3 999.0   0.8 99.0 99.00
2019 01 02 23 00 165  9.0  9.4 99.00 99.00 99.00 999 1018.6   7.4 999.0   0.6 99.0 99.00
2019 01 03 00 00 169 11.0 11.9 99.00 99.00 99.00 999 1017.8   7.6 999.0   0.5 99.0 99.00
2019 01 03 01 00 172  9.6 10.9 99.00 99.00 99.00 999 1018.2   7.8 999.0   2.5 99.0 99.00
2019 01 03 02 00 190 10.0 11.0 99.00 99.00 99.00 999 1018.3   8.1 999.0   1.0 99.0 99.00
2019 01 03 03 00 201 11.0 12.3 99.00 99.00 99.00 999 1018.1   7.8 999.0   0.3 99.0 99.00
2019 01 03 04 00 194 11.1 12.0 99.00 99.00 99.00 999 1017.4   7.6 999.0   1.0 99.0 99.00
2019 01 03 05 00 201  8.0  8.5 99.00 99.00 99.00 999 1016.9   7.9 999.0   2.4 99.0 99.00
2019 01 03 06 00 227  7.3  7.8 99.00 99.00 99.00 999 1016.2   6.8 999.0   2.7 99.0 99.00
2019 01 03 07 00 217  8.0  8.5 99.00 99.00 99.00 999 1015.8   6.2 999.0   3.7 99.0 99.00
2019 01 03 08 00 220  8.5  9.2 99.00 99.00 99.00 999 1015.5   6.0 999.0   4.2 99.0 99.00
2019 01 03 09 00 199  7.4  8.9 99.00 99.00 99.00 999 1014.7   6.2 999.0   5.0 99.0 99.00
2019 01 03 10 00 199  2.4  3.5 99.00 99.00 99.00 999 1014.6   5.9 999.0   4.4 99.0 99.00
2019 01 03 11 00 188  1.3  1.9 99.00 99.00 99.00 999 1014.5   5.4 999.0   4.3 99.0 99.00
2019 01 03 12 00 183  5.3  5.9 99.00 99.00 99.00 999 1013.8   6.0 999.0   4.9 99.0 99.00
2019 01 03 13 00 191  9.2 10.1 99.00 99.00 99.00 999 1012.4   6.9 999.0   6.0 99.0 99.00
2019 01 03 14 00 165  6.6  7.1 99.00 99.00 99.00 999 1012.3   7.2 999.0   6.6 99.0 99.00
2019 01 03 15 00 155  5.8  6.3 99.00 99.00 99.00 999 1011.7   7.5 999.0   6.8 99.0 99.00
2019 01 03 16 00 151  4.9  5.6 99.00 99.00 99.00 999 1011.7   8.0 999.0   7.4 99.0 99.00
2019 01 03 17 00 182 10.1 11.2 99.00 99.00 99.00 999 1011.5   8.8 999.0   8.0 99.0 99.00
2019 01 03 18 00 182 12.3 14.0 99.00 99.00 99.00 999 1011.2   9.4 999.0   8.1 99.0 99.00
2019 01 03 19 00 184 13.9 15.2 99.00 99.00 99.00 999 1010.9   9.9 999.0   7.8 99.0 99.00
2019 01 03 20 00 180 13.7 15.0 99.00 99.00 99.00 999 1010.1  10.2 999.0   7.8 99.0 99.00
2019 01 03 21 00 185 12.6 13.8 99.00 99.00 99.00 999 1009.4  10.6 999.0   7.9 99.0 99.00
2019 01 03 22 00 188 11.8 14.6 99.00 99.00 99.00 999 1008.8  10.5 999.0   8.3 99.0 99.00
2019 01 03 23 00 185  8.0  8.8 99.00 99.00 99.00 999 1009.1   9.7 999.0   8.1 99.0 99.00
2019 01 04 00 00 189  9.1  9.7 99.00 99.00 99.00 999 1008.3   9.7 999.0   7.8 99.0 99.00
2019 01 04 01 00 181 11.2 12.1 99.00 99.00 99.00 999 1007.4   9.8 999.0   8.3 99.0 99.00
2019 01 04 02 00 192  7.3  7.9 99.00 99.00 99.00 999 1006.9  10.8 999.0   8.7 99.0 99.00
2019 01 04 03 00 186 12.6 13.8 99.00 99.00 99.00 999 1005.8  11.8 999.0   7.5 99.0 99.00
2019 01 04 04 00 189 14.2 16.2 99.00 99.00 99.00 999 1005.4  12.1 999.0   6.7 99.0 99.00
2019 01 04 06 00 187 13.8 15.4 99.00 99.00 99.00 999 1003.9  11.6 999.0   6.8 99.0 99.00
