#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 01 13 10 00 134  2.4  3.4 99.00 99.00 99.00 999 1009.4   0.5 999.0   0.5 99.0 99.00
2020 01 13 11 00  18  6.0  6.9 99.00 99.00 99.00 999 1009.9   0.5 999.0   0.5 99.0 99.00
2020 01 13 12 00   7  4.9  5.3 99.00 99.00 99.00 999 1010.5   0.3 999.0   0.3 99.0 99.00
2020 01 13 13 00 301  2.2  2.6 99.00 99.00 99.00 999 1011.1   0.3 999.0   0.3 99.0 99.00
2020 01 13 14 00 342  2.1  2.9 99.00 99.00 99.00 999 1010.7   0.1 999.0   0.0 99.0 99.00
2020 01 13 15 00 280  1.5  2.2 99.00 99.00 99.00 999 1010.8   0.5 999.0  -0.2 99.0 99.00
2020 01 13 16 00 265  2.1  3.4 99.00 99.00 99.00 999 1010.7   0.7 999.0  -0.5 99.0 99.00
2020 01 13 17 00 247  1.0  1.9 99.00 99.00 99.00 999 1011.1   0.7 999.0  -0.1 99.0 99.00
2020 01 13 18 00 234  1.4  2.8 99.00 99.00 99.00 999 1011.5   1.0 999.0   0.0 99.0 99.00
2020 01 13 19 00 263  0.9  1.9 99.00 99.00 99.00 999 1011.6   1.1 999.0   0.3 99.0 99.00
2020 01 13 20 00 309  1.3  2.0 99.00 99.00 99.00 999 1011.2   1.4 999.0   0.4 99.0 99.00
2020 01 13 21 00 314  1.2  2.5 99.00 99.00 99.00 999 1010.5   1.6 999.0   0.0 99.0 99.00
2020 01 13 22 00  13  6.0  6.8 99.00 99.00 99.00 999 1009.9   1.4 999.0   0.1 99.0 99.00
2020 01 13 23 00   3  7.9  9.2 99.00 99.00 99.00 999 1009.9   0.8 999.0   0.0 99.0 99.00
2020 01 14 00 00   1  8.4  9.5 99.00 99.00 99.00 999 1010.1   0.6 999.0  -1.2 99.0 99.00
2020 01 14 01 00  12  7.9  9.3 99.00 99.00 99.00 999 1010.0   0.6 999.0  -1.0 99.0 99.00
2020 01 14 02 00 359  7.1  8.7 99.00 99.00 99.00 999 1009.8   0.3 999.0  -1.5 99.0 99.00
2020 01 14 03 00   1  6.8  8.0 99.00 99.00 99.00 999 1009.7   0.3 999.0  -1.2 99.0 99.00
2020 01 14 04 00 348  7.0  8.3 99.00 99.00 99.00 999 1009.9  -0.1 999.0  -0.9 99.0 99.00
2020 01 14 05 00  27  7.3  8.6 99.00 99.00 99.00 999 1009.8  -0.4 999.0  -0.7 99.0 99.00
2020 01 14 06 00  22  6.7  7.2 99.00 99.00 99.00 999 1009.8  -0.4 999.0  -1.2 99.0 99.00
2020 01 14 07 00  37  5.3  6.2 99.00 99.00 99.00 999 1010.1  -0.8 999.0  -1.1 99.0 99.00
2020 01 14 08 00  40  5.5  6.9 99.00 99.00 99.00 999 1010.2  -1.0 999.0  -1.5 99.0 99.00
2020 01 14 09 00  27  5.8  7.1 99.00 99.00 99.00 999 1010.0  -1.2 999.0  -1.9 99.0 99.00
2020 01 14 10 00  27  5.6  6.5 99.00 99.00 99.00 999 1010.2  -1.1 999.0  -1.5 99.0 99.00
2020 01 14 11 00  14  6.5  7.6 99.00 99.00 99.00 999 1010.7  -0.9 999.0  -1.7 99.0 99.00
2020 01 14 12 00   9  6.3  7.1 99.00 99.00 99.00 999 1010.7  -1.3 999.0  -2.6 99.0 99.00
2020 01 14 13 00  62  2.1  2.7 99.00 99.00 99.00 999 1010.8  -1.9 999.0  -3.1 99.0 99.00
2020 01 14 14 00  79  2.0  2.5 99.00 99.00 99.00 999 1011.0  -2.0 999.0  -3.3 99.0 99.00
2020 01 14 15 00  85  2.1  3.1 99.00 99.00 99.00 999 1011.1  -1.8 999.0  -2.9 99.0 99.00
2020 01 14 16 00  69  2.7  3.5 99.00 99.00 99.00 999 1011.3  -1.7 999.0  -2.8 99.0 99.00
