#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 01 00 00 348  1.8  2.2 99.00 99.00 99.00 999 1017.8   2.4 999.0  -5.1 99.0 99.00
2011 01 01 01 00  21  0.7  1.1 99.00 99.00 99.00 999 1017.6   2.0 999.0  -5.4 99.0 99.00
2011 01 01 02 00  40  1.4  2.0 99.00 99.00 99.00 999 1017.5   1.2 999.0  -5.9 99.0 99.00
2011 01 01 03 00  42  2.6  2.8 99.00 99.00 99.00 999 1017.4   0.7 999.0  -5.5 99.0 99.00
2011 01 01 04 00  90  3.3  4.4 99.00 99.00 99.00 999 1017.2   0.5 999.0  -7.4 99.0 99.00
2011 01 01 05 00  64  0.2  0.7 99.00 99.00 99.00 999 1017.3   0.4 999.0  -8.3 99.0 99.00
2011 01 01 06 00  89  2.5  3.0 99.00 99.00 99.00 999 1017.6   0.0 999.0  -8.1 99.0 99.00
2011 01 01 07 00 134  0.7  1.0 99.00 99.00 99.00 999 1017.9   0.5 999.0  -7.9 99.0 99.00
2011 01 01 08 00  81  1.5  1.9 99.00 99.00 99.00 999 1017.7  -0.3 999.0  -7.5 99.0 99.00
2011 01 01 09 00 149  0.6  0.8 99.00 99.00 99.00 999 1017.8   0.0 999.0  -8.1 99.0 99.00
2011 01 01 10 00  55  1.6  1.9 99.00 99.00 99.00 999 1017.9  -0.1 999.0  -7.1 99.0 99.00
2011 01 01 11 00  84  0.3  0.4 99.00 99.00 99.00 999 1018.2   0.0 999.0  -6.4 99.0 99.00
2011 01 01 12 00  55  0.7  0.9 99.00 99.00 99.00 999 1018.2  -0.2 999.0  -6.7 99.0 99.00
2011 01 01 13 00  42  0.1  0.3 99.00 99.00 99.00 999 1018.4  -0.3 999.0  -7.0 99.0 99.00
2011 01 01 14 00  71  2.6  3.1 99.00 99.00 99.00 999 1018.9  -1.0 999.0  -9.0 99.0 99.00
2011 01 01 15 00  20  1.1  1.5 99.00 99.00 99.00 999 1019.5  -1.0 999.0  -7.7 99.0 99.00
2011 01 01 16 00  56  2.1  2.4 99.00 99.00 99.00 999 1020.2  -1.2 999.0  -6.9 99.0 99.00
2011 01 01 17 00  89  0.7  1.0 99.00 99.00 99.00 999 1020.6  -0.4 999.0  -7.0 99.0 99.00
