#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 01 00 00   5  4.2  4.6 99.00 99.00 99.00 999 1034.0   4.6 999.0  -1.1 99.0 99.00
2016 01 01 01 00   6  4.2  4.5 99.00 99.00 99.00 999 1034.1   4.6 999.0  -1.0 99.0 99.00
2016 01 01 02 00   6  5.0  5.6 99.00 99.00 99.00 999 1034.0   4.7 999.0  -0.9 99.0 99.00
2016 01 01 03 00  57  2.1  2.7 99.00 99.00 99.00 999 1033.9   3.8 999.0  -3.5 99.0 99.00
2016 01 01 04 00  70  2.4  2.7 99.00 99.00 99.00 999 1034.0   3.2 999.0  -4.8 99.0 99.00
2016 01 01 05 00  50  1.0  1.2 99.00 99.00 99.00 999 1033.9   3.2 999.0  -4.3 99.0 99.00
2016 01 01 06 00 325  2.7  3.0 99.00 99.00 99.00 999 1033.6   3.8 999.0  -0.9 99.0 99.00
2016 01 01 07 00 335  2.4  3.1 99.00 99.00 99.00 999 1033.5   3.1 999.0  -0.4 99.0 99.00
2016 01 01 08 00  28  0.8  1.1 99.00 99.00 99.00 999 1032.9   2.5 999.0  -1.1 99.0 99.00
2016 01 01 09 00  29  2.7  3.4 99.00 99.00 99.00 999 1032.4   2.4 999.0  -3.0 99.0 99.00
2016 01 01 10 00  56  3.0  3.5 99.00 99.00 99.00 999 1032.2   2.3 999.0  -3.6 99.0 99.00
2016 01 01 11 00  43  2.8  3.1 99.00 99.00 99.00 999 1032.2   2.2 999.0  -4.0 99.0 99.00
2016 01 01 12 00  27  1.6  2.0 99.00 99.00 99.00 999 1031.8   1.7 999.0  -4.1 99.0 99.00
2016 01 01 13 00  43  1.4  1.6 99.00 99.00 99.00 999 1031.3   2.0 999.0  -4.2 99.0 99.00
2016 01 01 14 00  53  2.5  2.8 99.00 99.00 99.00 999 1031.0   1.8 999.0  -5.5 99.0 99.00
2016 01 01 15 00  69  1.5  1.6 99.00 99.00 99.00 999 1030.7   1.8 999.0  -6.2 99.0 99.00
2016 01 01 16 00  23  2.4  2.7 99.00 99.00 99.00 999 1030.5   1.7 999.0  -5.6 99.0 99.00
2016 01 01 17 00  51  0.8  0.9 99.00 99.00 99.00 999 1030.3   2.1 999.0  -5.2 99.0 99.00
2016 01 01 18 00  48  1.4  1.6 99.00 99.00 99.00 999 1030.1   3.1 999.0  -4.3 99.0 99.00
2016 01 01 19 00 359  3.1  4.0 99.00 99.00 99.00 999 1029.6   4.1 999.0  -2.5 99.0 99.00
2016 01 01 20 00  16  3.2  3.7 99.00 99.00 99.00 999 1028.9   4.2 999.0  -1.4 99.0 99.00
2016 01 01 21 00   1  3.8  4.3 99.00 99.00 99.00 999 1028.1   4.7 999.0  -1.4 99.0 99.00
2016 01 01 22 00   3  4.2  4.6 99.00 99.00 99.00 999 1027.6   5.1 999.0  -0.5 99.0 99.00
2016 01 01 23 00  13  4.1  4.5 99.00 99.00 99.00 999 1027.1   5.5 999.0  -0.7 99.0 99.00
2016 01 02 00 00   2  4.3  4.5 99.00 99.00 99.00 999 1026.7   5.9 999.0   0.2 99.0 99.00
2016 01 02 01 00   0  5.1  5.5 99.00 99.00 99.00 999 1026.6   5.7 999.0   1.0 99.0 99.00
2016 01 02 02 00 354  5.6  6.1 99.00 99.00 99.00 999 1026.3   5.7 999.0   1.8 99.0 99.00
2016 01 02 03 00  17  4.7  5.3 99.00 99.00 99.00 999 1025.9   5.3 999.0   1.0 99.0 99.00
2016 01 02 04 00  40  1.6  1.9 99.00 99.00 99.00 999 1025.8   4.1 999.0  -4.2 99.0 99.00
2016 01 02 05 00  57  2.1  2.2 99.00 99.00 99.00 999 1025.5   3.6 999.0  -5.1 99.0 99.00
2016 01 02 06 00  52  1.9  2.3 99.00 99.00 99.00 999 1025.0   3.5 999.0  -4.8 99.0 99.00
2016 01 02 07 00  34  2.4  2.6 99.00 99.00 99.00 999 1025.1   3.6 999.0  -4.0 99.0 99.00
2016 01 02 08 00  55  2.4  2.8 99.00 99.00 99.00 999 1025.1   2.5 999.0  -5.2 99.0 99.00
2016 01 02 09 00  28  2.3  2.6 99.00 99.00 99.00 999 1024.6   2.2 999.0  -5.3 99.0 99.00
2016 01 02 10 00 350  2.1  2.9 99.00 99.00 99.00 999 1024.3   2.9 999.0  -5.2 99.0 99.00
2016 01 02 11 00  53  2.0  2.3 99.00 99.00 99.00 999 1023.9   2.6 999.0  -5.1 99.0 99.00
2016 01 02 12 00  49  2.6  3.1 99.00 99.00 99.00 999 1023.5   2.4 999.0  -3.9 99.0 99.00
2016 01 02 13 00  50  1.9  2.3 99.00 99.00 99.00 999 1023.3   2.7 999.0  -4.0 99.0 99.00
